ID,Enunciado,Tarea,Dueño/Voluntario,Estado,# Horas estimadas totales,Día Cons.,Realizado
HU08,Como administrador quiero gestionar usuarios del sistema para controlar accesos,Diseñar pantalla de gestión de usuarios,Equipo Frontend,Completado,4,1,4
HU08,Como administrador quiero gestionar usuarios del sistema para controlar accesos,Implementar listado de usuarios con roles,Equipo Frontend,Completado,4,1,4
HU08,Como administrador quiero gestionar usuarios del sistema para controlar accesos,Crear formulario de alta de usuario,Equipo Frontend,Completado,5,2,5
HU08,Como administrador quiero gestionar usuarios del sistema para controlar accesos,Implementar generación de contraseña temporal,Equipo Backend,Completado,3,2,3
HU08,Como administrador quiero gestionar usuarios del sistema para controlar accesos,Crear endpoint de registro de usuario,Equipo Backend,Completado,4,2,4
HU08,Como administrador quiero gestionar usuarios del sistema para controlar accesos,Implementar desactivación de usuarios,Equipo Frontend,Completado,3,2,3
HU08,Como administrador quiero gestionar usuarios del sistema para controlar accesos,Crear modal de detalles de usuario,Equipo Frontend,Completado,4,3,4
HU08,Como administrador quiero gestionar usuarios del sistema para controlar accesos,Implementar persistencia de usuarios en archivo JSON,Equipo Backend,Completado,5,3,5
HU09,Como usuario quiero autenticarme con mis credenciales para acceder al sistema,Diseñar pantalla de login,Equipo Frontend,Completado,3,1,3
HU09,Como usuario quiero autenticarme con mis credenciales para acceder al sistema,Implementar formulario de login,Equipo Frontend,Completado,4,1,4
HU09,Como usuario quiero autenticarme con mis credenciales para acceder al sistema,Crear endpoint de autenticación,Equipo Backend,Completado,5,2,5
HU09,Como usuario quiero autenticarme con mis credenciales para acceder al sistema,Implementar gestión de tokens,Equipo Backend,Completado,4,2,4
HU09,Como usuario quiero autenticarme con mis credenciales para acceder al sistema,Crear store de autenticación,Equipo Frontend,Completado,3,2,3
HU09,Como usuario quiero autenticarme con mis credenciales para acceder al sistema,Implementar validación de credenciales,Equipo Backend,Completado,3,2,3
HU10,Como usuario nuevo quiero cambiar mi contraseña temporal para personalizar mi acceso,Crear modal de cambio de contraseña,Equipo Frontend,Completado,4,1,4
HU10,Como usuario nuevo quiero cambiar mi contraseña temporal para personalizar mi acceso,Implementar validaciones de contraseña,Equipo Frontend,Completado,3,2,3
HU10,Como usuario nuevo quiero cambiar mi contraseña temporal para personalizar mi acceso,Crear endpoint de cambio de contraseña,Equipo Backend,Completado,4,2,4
HU10,Como usuario nuevo quiero cambiar mi contraseña temporal para personalizar mi acceso,Implementar forzado de cambio en primer login,Equipo Frontend,Completado,3,2,3
